timestamp,sentiment
1538108161,POSITIVE
1538108055,NEGATIVE
1538107923,NEUTRAL
1538107911,NEUTRAL
1538107876,NEUTRAL
1538107743,NEGATIVE
1538107653,NEUTRAL
1538107602,NEUTRAL
1538107538,NEUTRAL
1538107598,NEUTRAL
1538107532,NEUTRAL
1538107422,NEUTRAL
1538107418,NEUTRAL
1538107339,NEUTRAL
1538106825,NEUTRAL
1538106819,NEGATIVE
1538106689,NEUTRAL
1538106633,NEUTRAL
1538106579,POSITIVE
1538106566,POSITIVE
1538106448,NEUTRAL
1538106239,NEUTRAL
1538106109,NEGATIVE
1538106059,NEUTRAL
1538105734,NEUTRAL
1538105944,NEUTRAL
1538105528,NEUTRAL
1538105350,POSITIVE
1538105384,NEUTRAL
1538105320,NEUTRAL
1538105260,NEGATIVE
1538105108,NEUTRAL
1538105101,NEGATIVE
1538105054,NEUTRAL
1538105010,NEUTRAL
1538104945,NEUTRAL
1538104770,NEUTRAL
1538104493,NEUTRAL
1538104417,NEUTRAL
1538104337,NEUTRAL
1538103944,NEUTRAL
1538104311,NEUTRAL
1538103785,NEGATIVE
1538103545,POSITIVE
1538103570,NEGATIVE
1538103400,NEUTRAL
1538103331,NEUTRAL
1538103002,NEUTRAL
1538102928,NEUTRAL
1538102887,NEUTRAL
1538102888,NEUTRAL
1538102872,NEUTRAL
1538102636,NEUTRAL
1538102515,NEUTRAL
1538102275,NEUTRAL
1538102790,NEUTRAL
1538102386,NEUTRAL
1538101993,NEUTRAL
1538101869,NEUTRAL
1538101727,POSITIVE
1538101792,NEUTRAL
1538101646,NEUTRAL
1538101645,NEUTRAL
1538101638,POSITIVE
1538101560,NEUTRAL
1538101557,POSITIVE
1538101631,NEUTRAL
1538101458,POSITIVE
1538101401,NEUTRAL
1538101350,NEUTRAL
1538101327,NEUTRAL
1538101314,NEUTRAL
1538101193,NEGATIVE
1538101309,NEUTRAL
1538101039,NEUTRAL
1538101108,NEUTRAL
1538100920,NEUTRAL
1538101011,NEGATIVE
1538100837,NEUTRAL
1538100775,POSITIVE
1538100782,POSITIVE
1538100746,POSITIVE
1538100444,NEUTRAL
1538100675,MIXED
1538100423,NEUTRAL
1538100338,NEUTRAL
1538100288,NEUTRAL
1538100199,NEUTRAL
1538100180,NEGATIVE
1538100137,NEUTRAL
1538099957,NEGATIVE
1538099907,NEUTRAL
1538099623,NEUTRAL
1538099880,NEUTRAL
1538099471,NEUTRAL
1538099464,POSITIVE
1538099397,NEUTRAL
1538099328,NEUTRAL
1538099290,NEUTRAL
1538099349,NEUTRAL
1538099257,NEUTRAL
1538099200,NEGATIVE
1538099182,NEUTRAL
1538099177,NEUTRAL
1538099165,NEGATIVE
1538099117,NEUTRAL
1538099015,NEUTRAL
1538098999,NEUTRAL
1538098861,NEUTRAL
1538098855,NEGATIVE
1538098823,NEUTRAL
1538098812,NEUTRAL
1538098776,NEGATIVE
1538098505,NEGATIVE
1538098379,NEUTRAL
1538098361,NEUTRAL
1538098158,NEUTRAL
1538098119,NEUTRAL
1538098016,NEGATIVE
1538098116,NEUTRAL
