author,sentiment
TheRealTimPaul,NEUTRAL
stucky980,NEGATIVE
stucky980,NEUTRAL
stucky980,NEGATIVE
stucky980,NEGATIVE
stucky980,NEUTRAL
stucky980,NEUTRAL
rocknrollgeek,NEUTRAL
Workmann34,NEUTRAL
TheRealTimPaul,NEGATIVE
clmotz,NEUTRAL
JoeyGny09,NEUTRAL
h2ohall,NEUTRAL
lidiaaHernandez,NEUTRAL
D_Wanders,NEUTRAL
Workmann34,POSITIVE
ldander5000,NEUTRAL
GoBuckeyes4Life,NEUTRAL
i_dotter05,NEUTRAL
Incognutus,NEUTRAL
24Grabs,NEUTRAL
danielshearon,NEUTRAL
shadycarp,NEGATIVE
shadycarp,NEGATIVE
themayorkoch,NEUTRAL
michealownes,NEUTRAL
ConsumerFellow,POSITIVE
i_dotter05,NEUTRAL
nicholasmcraig,NEUTRAL
JayKraft13,NEUTRAL
nicholasmcraig,NEGATIVE
Dmorrissey17,NEGATIVE
vaughnbroadnax,NEUTRAL
SgtSue,NEUTRAL
suzukii6999,NEUTRAL
dy_bradd,NEUTRAL
fasulo_chris,NEUTRAL
AuthorEYork,NEUTRAL
karekare413,NEUTRAL
DenisCasey91,NEUTRAL
DenisCasey91,NEUTRAL
DenisCasey91,NEUTRAL
SgtSue,NEUTRAL
K1_of_3,NEUTRAL
SickChickNikNik,NEUTRAL
kristayyyyy,NEGATIVE
CathyBaptiste2,NEUTRAL
xSova_,NEUTRAL
canihascrypto,NEUTRAL
xnkoyan,NEUTRAL
ideasrepo,NEGATIVE
CathyBaptiste2,NEUTRAL
canihascrypto,NEUTRAL
KTVindicare,NEGATIVE
drewmatich,NEUTRAL
ItsVeeYo,NEUTRAL
WhyNotHro,NEUTRAL
xnkoyan,NEUTRAL
drewmatich,NEUTRAL
rocknrollgeek,NEUTRAL
ItsVeeYo,NEUTRAL
PJVance5,NEUTRAL
drewmatich,NEGATIVE
jlfrankiv,NEUTRAL
whiskeyboyprd,NEUTRAL
Gamer_Funk,NEUTRAL
drewmatich,NEUTRAL
canihascrypto,NEGATIVE
jlfrankiv,NEUTRAL
ElegantProjects,NEUTRAL
KolleenCarney,NEUTRAL
jayccheng,NEUTRAL
paynerob21,NEUTRAL
HeyJacque0,NEUTRAL
ItzSaifx,NEUTRAL
bangskxtt,NEUTRAL
ItzSaifx,NEUTRAL
718Mosh,NEUTRAL
718Mosh,NEUTRAL
ItzSaifx,NEUTRAL
BendenBix,NEUTRAL
Badd_Boi_Chris,NEUTRAL
StrikeSpectrum,NEUTRAL
ElegantProjects,NEGATIVE
FigNewton458,NEUTRAL
Woody3MC,NEUTRAL
forrestbmac,NEUTRAL
forrestbmac,POSITIVE
forrestbmac,NEUTRAL
LittlePunk_619,NEUTRAL
Woody3MC,NEUTRAL
StoryBookPltHls,NEGATIVE
AXECOP,NEUTRAL
E025126,NEUTRAL
Spc_DaltonJason,NEUTRAL
xSAINT808x,NEGATIVE
FILTHYRICHXVIII,NEUTRAL
AXECOP,NEUTRAL
ChemiIIe,NEUTRAL
xSAINT808x,NEUTRAL
JayDitto,NEUTRAL
killah_b,NEUTRAL
Silverwolf1823,NEUTRAL
ElegantProjects,NEUTRAL
Cheff_Katiee,NEUTRAL
Cheff_Katiee,NEUTRAL
Hikaari_lol,POSITIVE
kyrosa2000,NEUTRAL
ChemiIIe,NEUTRAL
mathew_hughes55,NEUTRAL
AXECOP,NEUTRAL
shellking,NEUTRAL
ElegantProjects,NEGATIVE
BigReputation88,NEUTRAL
BigReputation88,POSITIVE
BkLiveWire,NEUTRAL
mathew_hughes55,NEUTRAL
Mannwee,NEUTRAL
organizing_lab,NEUTRAL
cman_8,NEUTRAL
THESPORTFAN1957,NEGATIVE
THESPORTFAN1957,POSITIVE
vehnity,NEUTRAL
RockyTopGaming,NEGATIVE
NiceguyinUtah,NEUTRAL
skeltonh,NEGATIVE
NiceguyinUtah,NEUTRAL
Ace_AL360,NEUTRAL
skeltonh,NEUTRAL
BigReputation88,NEUTRAL
LifeO817,NEGATIVE
NiceguyinUtah,NEUTRAL
TheSeigeDFS,NEUTRAL
skeltonh,NEGATIVE
Sararrraw,NEUTRAL
trent_watkins,NEUTRAL
JamalBryan21,NEUTRAL
AuthorEYork,NEUTRAL
JoelMuiller,NEUTRAL
jedimasta,NEUTRAL
mstoner82,NEGATIVE
santi8a98,NEUTRAL
skeltonh,NEUTRAL
TylerSacre,NEUTRAL
MimmickLP,NEUTRAL
DaRealBackseat,NEUTRAL
HenleJacob,NEUTRAL
Kp1832,NEUTRAL
tylerwolfcale,NEUTRAL
Moto_Talks,NEUTRAL
ThePapaGamer,NEUTRAL
KevinMKaspar,NEUTRAL
barrydorman,NEUTRAL
wyebba,NEUTRAL
austinpetersen,NEUTRAL
EdwinSantos212,NEUTRAL
JTFerrell15,NEUTRAL
aimster_17,NEUTRAL
BeauGarraud,NEGATIVE
JoshThompson86,NEUTRAL
trent_watkins,NEUTRAL
red_haired_girl,NEUTRAL
EbonyOnTV,NEUTRAL
Kp1832,NEUTRAL
AuthorEYork,NEUTRAL
JTFerrell15,NEUTRAL
GAKunkel,NEUTRAL
skoles0505,NEGATIVE
LolitaShawn,NEUTRAL
red_haired_girl,NEUTRAL
red_haired_girl,NEUTRAL
B0BBYIII,NEUTRAL
powell95_ty,NEUTRAL
marinoisking13,NEUTRAL
peanato1,NEUTRAL
terezi,NEGATIVE
borosch,NEGATIVE
King_EST19XX,NEUTRAL
Ashley_Says,POSITIVE
M33sH3LLyBthree,NEUTRAL
amylt77,NEGATIVE
Ashley_Says,NEUTRAL
JesusGotGame34,NEGATIVE
sindustrydj,NEGATIVE
LeakeGrayson,NEGATIVE
THEWolvesInc,NEUTRAL
Sandra_Esss,NEUTRAL
Avostear,NEUTRAL
VirtuallyVirgo,NEUTRAL
HenryMorgan73,NEUTRAL
haguar_,NEGATIVE
AbsolutelyCory,NEUTRAL
haguar_,POSITIVE
lakynhayes,NEUTRAL
THEWolvesInc,NEUTRAL
LA4_EVER,NEUTRAL
Mickpundit,NEUTRAL
StrikeSpectrum,NEUTRAL
Missmodelchara,NEGATIVE
Ashley_Says,NEUTRAL
JennieBailey3,NEUTRAL
lindhartsen,NEGATIVE
mann_jakob,NEUTRAL
evercode,NEUTRAL
sujaco,NEUTRAL
Logan__Harris,NEUTRAL
VirtuallyVirgo,NEUTRAL
Sandra_Esss,NEUTRAL
M_RUSHwaters,NEUTRAL
Kp1832,NEUTRAL
HiImAaronGee,NEUTRAL
Ashley_Says,POSITIVE
AverySchwab,NEGATIVE
LA4_EVER,NEUTRAL
izzinjai,NEUTRAL
Kp1832,NEUTRAL
literaticat,NEGATIVE
miyanna11,NEUTRAL
LolitaShawn,NEUTRAL
Kp1832,NEUTRAL
LolitaShawn,NEUTRAL
borosch,NEUTRAL
DeanPrichard2,NEUTRAL
waydeultima,NEUTRAL
Missmodelchara,NEUTRAL
TeeAhGoh,NEUTRAL
PhillipRLemley,NEGATIVE
AnthonyMessedUp,NEUTRAL
GoIdFox,NEUTRAL
Ashley_Says,POSITIVE
SpexJY,POSITIVE
EhrenP,NEUTRAL
VlZE_,NEUTRAL
FranticSeaBoard,NEGATIVE
_LAMBRIGHT_,NEUTRAL
jhallGFX,NEUTRAL
Mr_Hansn,NEUTRAL
LolitaShawn,NEUTRAL
ZzZTragicZzZ,POSITIVE
red_haired_girl,NEUTRAL
ScotDal112,NEUTRAL
dangdude,NEGATIVE
amatob4,NEUTRAL
Chinote_OW,NEGATIVE
wheresKR,NEUTRAL
realUS232,NEUTRAL
h3iditschanz,NEUTRAL
TheDanielKoenig,NEUTRAL
Florida_Boy_Bud,NEUTRAL
stlbluesfan58,NEUTRAL
red_haired_girl,NEUTRAL
poseidonsroyal,NEUTRAL
Vinemonster83,NEUTRAL
borosch,NEGATIVE
P1Zayniac,POSITIVE
cjsmith_0703,NEGATIVE
borosch,NEUTRAL
James_Titcomb,NEUTRAL
ToniRae315,NEUTRAL
mak1981atoka,NEUTRAL
imseriousyall,NEUTRAL
lidiaaHernandez,NEUTRAL
mak1981atoka,NEUTRAL
Mr_Dewdrop,NEUTRAL
Ladygator97,NEUTRAL
A_CharmanderRS,NEUTRAL
Pyeppers,NEUTRAL
Pyeppers,NEUTRAL
forrestbmac,NEUTRAL
Jacpnsv,NEUTRAL
liveral11,POSITIVE
Auzi22,NEUTRAL
bgut12_MBB,NEUTRAL
BeebudHD,NEUTRAL
GieseJackie,POSITIVE
ScotDal112,NEUTRAL
tonystanhope,POSITIVE
MarvinBillups2,NEUTRAL
GieseJackie,POSITIVE
tonystanhope,NEUTRAL
NathanOckerman,NEUTRAL
ZzZTragicZzZ,NEUTRAL
MrJoshBecker,NEUTRAL
BeebudHD,NEGATIVE
CardHock69,NEUTRAL
BookishMe_21,NEUTRAL
KevinSwan_,NEUTRAL
SweetSeaChick,NEUTRAL
BeebudHD,NEGATIVE
Ashley_Says,NEUTRAL
GieseJackie,POSITIVE
MARKATBLUEHOTEL,POSITIVE
JinNRubyCreate,POSITIVE
tonystanhope,NEUTRAL
JinNRubyCreate,MIXED
9470rs3c,NEUTRAL
tonystanhope,NEUTRAL
